imdbid,role,talentid
1127896,actor,0001767
0463998,actor,0001767
0383694,actor,0001767
1587310,actor,0001767
1430626,actor,0001767
1821549,actor,0820053
0257360,actor,0820053
0134273,actor,0001618
0368447,actor,0001618
0831884,actor,0001618
1791528,actor,0001618
1356864,actor,0001618
0180073,actor,0001618
0273689,actor,0001618
1951181,actor,0001618
0252299,actor,0001618
0138946,actor,0001618
0349710,actor,0001618
0286106,actor,0001618
0114681,actor,0001618
0395169,actor,0001618
0498399,actor,0001618
0358273,actor,0001618
0124595,actor,0001618
0118863,actor,0001618
1798709,actor,0001618
0328880,actor,0001618
0172495,actor,0001618
1560747,actor,0001618
1103275,actor,0001618
0256276,actor,0000569
1103275,actor,0000569
0371746,actor,0000569
1228705,actor,0000569
0134630,actor,0000569
3045616,actor,0000569
0256380,actor,0000569
0116191,actor,0000569
1300854,actor,0000569
0119256,actor,0000569
0120148,actor,0000569
0186894,actor,0000569
1598778,actor,0000569
0484111,actor,0000569
0420609,actor,0000569
0264150,actor,0000569
0113463,actor,0000569
0377107,actor,0000569
0120787,actor,0000569
0138097,actor,0000569
0134119,actor,0000569
0265666,actor,0000569
0117283,actor,0000569
0118744,actor,0000569
0119223,actor,0000569
1555064,actor,0000569
0325055,actor,0000569
0346156,actor,0000569
0114369,actor,0000569
0412080,actor,0002663
0119095,actor,0000564
0431213,actor,0000564
0489327,actor,0000564
0273517,actor,0000565
0329717,actor,0000565
0402894,actor,0000565
0142688,actor,0000565
0211933,actor,0000565
1321870,actor,0331516
0264935,actor,0331516
1175709,actor,0331516
0371257,actor,0331516
1570728,actor,0331516
0247199,actor,0331516
0780504,actor,0331516
1602613,actor,0331516
0805564,actor,0331516
1124035,actor,0331516
1817273,actor,0331516
0488120,actor,0331516
0118564,actor,0000560
0286716,actor,0000560
0120399,actor,0000560
0200669,actor,0000560
0120863,actor,0000560
0416236,actor,0000560
0117093,actor,0000560
0438315,actor,0000560
0113463,actor,0000560
0174204,actor,0000560
0120618,actor,0000560
1287468,actor,0000560
0322659,actor,0000560
0162711,actor,0000560
0281820,actor,0000560
0117107,actor,0000560
0273108,actor,0000560
1291584,actor,0000560
1922777,actor,0000160
0120769,actor,0000160
2184339,actor,0000160
2167202,actor,0000160
2209418,actor,0000160
0139654,actor,0000160
0433362,actor,0000160
0398712,actor,0000160
1065073,actor,0000160
0112471,actor,0000160
0171359,actor,0000160
0364045,actor,0000160
0271020,actor,0000160
0381681,actor,0000160
0399295,actor,0000160
0120834,actor,0000160
0292963,actor,0000160
0119177,actor,0000160
0119223,actor,0000160
1210042,actor,0000160
0119859,actor,0172604
1441951,actor,0172604
1602098,actor,0172604
1182350,actor,0172604
0119558,actor,0001449
0870111,actor,0001449
0142688,actor,0001449
1175709,actor,0001449
1990314,actor,0001449
0116168,actor,0001449
0112760,actor,0001449
0362478,actor,0001449
0120866,actor,0000164
0346491,actor,0000164
1182350,actor,0000164
0377107,actor,0000164
1161864,actor,0000164
0975645,actor,0000164
1959490,actor,0000164
0120746,actor,0000164
0252501,actor,0000164
0118607,actor,0000164
0128278,actor,0000164
0412080,actor,0000164
1981115,actor,0000164
0442933,actor,0000164
0280486,actor,0000164
1821694,actor,0000164
0780653,actor,0000164
0308055,actor,0000164
0119643,actor,0000164
0800369,actor,0000164
0308383,actor,0000164
0488120,actor,0000164
0212985,actor,0000164
0405676,actor,0000164
0289765,actor,0000164
0117791,actor,0000164
0113987,actor,0000164
0443489,actor,0004937
0165831,actor,0004937
0211938,actor,0004937
0431197,actor,0004937
1231583,actor,0004937
1872181,actor,0004937
0146838,actor,0004937
0117979,actor,0004937
0350258,actor,0004937
0821642,actor,0004937
0430357,actor,0004937
0817230,actor,0004937
0248667,actor,0004937
0382992,actor,0004937
1853728,actor,0004937
1197624,actor,0004937
0418763,actor,0004937
2334879,actor,0004937
0349169,actor,0004937
0369339,actor,0004937
1823664,actor,0004937
0118750,actor,0004937
0308644,actor,0001046
0116477,actor,0001046
0491747,actor,0001046
0144814,actor,0001388
1185836,actor,0001388
0382077,actor,0001388
0113097,actor,0000700
1084950,actor,0000700
0316465,actor,0000700
0120338,actor,0000701
2908446,actor,0000701
1967545,actor,0000701
1840309,actor,0000701
0457939,actor,0000701
0308644,actor,0000701
0114388,actor,0000701
0116722,actor,0000701
0338013,actor,0000701
0180073,actor,0000701
0280778,actor,0000701
0404203,actor,0000701
0368222,actor,0000701
0289992,actor,0000701
0976051,actor,0000701
0405676,actor,0000701
0424095,actor,0000701
0136244,actor,0000701
0113538,actor,0000701
1598778,actor,0000701
0959337,actor,0000701
1341188,actor,0000702
0425123,actor,0000702
0804522,actor,0000702
0472160,actor,0000702
0241025,actor,0000702
2652092,actor,0000702
0116361,actor,0000702
0120789,actor,0000702
0139134,actor,0000702
0133412,actor,0000702
0358273,actor,0000702
0126886,actor,0000702
1935179,actor,0000702
0116287,actor,0000702
0278500,actor,0000702
1596350,actor,0000702
0256415,actor,0000702
1067583,actor,0000702
0892782,actor,0000702
0250494,actor,0000702
0119594,actor,0000702
0333780,actor,0000702
