award,imdbid,kind,talentid,year
3,0113987,N,0000260,1996
3,0112384,N,0000599,1996
3,0113158,N,0001858,1996
3,0114388,N,0000701,1996
0,0119822,W,0000197,1998
0,0120402,N,0001228,1998
0,0120885,N,0000163,1998
0,0119217,N,0000354,1998
0,0118632,N,0000380,1998
4,0120338,W,0000116,1998
4,0120338,W,0001484,1998
4,0119488,N,0586969,1998
4,0119488,N,0000436,1998
4,0119488,N,0622296,1998
1,0119217,W,0000245,1998
1,0119396,N,0001233,1998
1,0118607,N,0000164,1998
1,0119822,N,0001427,1998
1,0118749,N,0000608,1998
2,0119822,W,0000166,1998
2,0120520,N,0000307,1998
2,0118566,N,0001046,1998
2,0119280,N,0001132,1998
2,0120338,N,0000701,1998
3,0119488,W,0000107,1998
3,0118749,N,0000194,1998
3,0120338,N,0001784,1998
3,0119360,N,0000349,1998
3,0119217,N,0000378,1998
0,0172495,W,0000128,2001
0,0247196,N,0000849,2001
0,0162222,N,0000158,2001
0,0183659,N,0000438,2001
0,0180073,N,0001691,2001
4,0172495,W,0926824,2001
4,0172495,W,0291205,2001
4,0172495,W,0527322,2001
4,0181865,N,0001880,2001
4,0181865,N,0380980,2001
4,0181865,N,0081046,2001
1,0181865,W,0001125,2001
1,0208874,N,0000313,2001
1,0189998,N,0000353,2001
1,0195685,N,0001215,2001
1,0172495,N,0001618,2001
2,0195685,W,0000210,2001
2,0208874,N,0000260,2001
2,0241303,N,0000300,2001
2,0180093,N,0000995,2001
2,0203230,N,0001473,2001
3,0183659,W,0001315,2001
3,0241303,N,0001132,2001
3,0181875,N,0005028,2001
3,0181875,N,0000531,2001
3,0249462,N,0910278,2001
0,0253474,W,0004778,2003
0,0268126,N,0000115,2003
0,0258068,N,0000323,2003
0,0217505,N,0000358,2003
0,0257360,N,0000197,2003
4,0299658,W,0724237,2003
4,0253474,N,0000591,2003
4,0253474,N,0071452,2003
4,0253474,N,0764963,2003
1,0268126,W,0177933,2003
1,0299658,N,0000604,2003
1,0264464,N,0000686,2003
1,0274558,N,0000438,2003
1,0257044,N,0000056,2003
2,0274558,W,0000173,2003
2,0120679,N,0000161,2003
2,0250797,N,0000178,2003
2,0297884,N,0000194,2003
2,0299658,N,0000250,2003
3,0299658,W,0001876,2003
3,0257360,N,0000870,2003
3,0274558,N,0000194,2003
3,0299658,N,0001451,2003
3,0268126,N,0000658,2003
0,0350258,W,0004937,2005
0,0395169,N,0000332,2005
0,0308644,N,0000136,2005
0,0338751,N,0000138,2005
0,0405159,N,0000142,2005
4,0405159,W,0000142,2005
4,0405159,W,0748665,2005
4,0405159,W,0742347,2005
4,0375063,N,0518757,2005
1,0405159,W,0000151,2005
1,0369339,N,0004937,2005
1,0376541,N,0654110,2005
1,0338751,N,0000257,2005
1,0375063,N,0002006,2005
2,0405159,W,0005476,2005
2,0340012,N,0000906,2005
2,0390221,N,1503432,2005
2,0383694,N,0001767,2005
2,0338013,N,0000701,2005
3,0338751,W,0000949,2005
3,0362269,N,0001473,2005
3,0375063,N,0000515,2005
3,0395169,N,0645683,2005
3,0376541,N,0000204,2005
0,0455590,W,0001845,2007
0,0468489,N,0331516,2007
0,0489327,N,0000564,2007
0,0454921,N,0000226,2007
0,0450259,N,0000138,2007
4,0407887,W,0454752,2007
4,0436697,N,0364170,2007
4,0436697,N,0485972,2007
4,0436697,N,0780870,2007
1,0449059,W,0000273,2007
1,0404203,N,0355097,2007
1,0450259,N,0005023,2007
1,0443489,N,0000552,2007
1,0407887,N,0000242,2007
2,0436697,W,0000545,2007
2,0441909,N,0004851,2007
2,0465551,N,0001132,2007
2,0458352,N,0000658,2007
2,0404203,N,0000701,2007
3,0443489,W,1617685,2007
3,0449059,N,1113550,2007
3,0449467,N,0452860,2007
3,0449467,N,0056770,2007
3,0465551,N,0000949,2007
0,1013753,W,0000576,2009
0,0857191,N,0420955,2009
0,0870111,N,0001449,2009
0,0421715,N,0000093,2009
0,1125849,N,0000620,2009
4,1010048,W,1384503,2009
4,1013753,N,0423134,2009
4,1013753,N,0169260,2009
1,0468569,W,0005132,2009
1,1013753,N,0000982,2009
1,0942385,N,0000375,2009
1,0918927,N,0000450,2009
1,0959337,N,0788335,2009
2,0976051,W,0000701,2009
2,0978759,N,0502425,2009
2,0918927,N,0000658,2009
2,1084950,N,0004266,2009
2,0824747,N,0001401,2009
3,0497465,W,0004851,2009
3,0918927,N,0010736,2009
3,0918927,N,0205626,2009
3,0421715,N,0378245,2009
3,1125849,N,0000673,2009
0,1263670,W,0000313,2010
